user_loc,fr_loc,scaled_sci,categories
FR,CF,85406,France
FR,CG,55871,France
FR,CH,41110,France
FR,CI,28178,France
FR,CL,1493,France
FR,CM,20212,France
FR,CO,1228,France
FR,CR,1369,France
FR,CV,117084,France
FR,CW,2560,France
FR,CY,5105,France
FR,CZ,2663,France
FR,DE,7098,France
FR,DJ,19252,France
FR,DK,3961,France
FR,DO,1951,France
FR,DZ,11330,France
FR,EC,906,France
FR,EE,3056,France
FR,EG,1126,France
FR,ES,9049,France
FR,ET,1399,France
FR,FI,3160,France
FR,FJ,1478,France
FR,FM,146,France
FR,FR,550941,France
FR,GA,53920,France
FR,GB,6233,France
FR,GD,1880,France
FR,GE,5737,France
FR,GF,243116,France
FR,GH,1676,France
FR,GM,10984,France
FR,GN,56546,France
FR,GP,277144,France
FR,GQ,12988,France
FR,GR,5798,France
FR,GT,330,France
FR,GU,760,France
FR,GW,25892,France
FR,GY,1578,France
FR,HK,2064,France
FR,HN,362,France
FR,HR,3026,France
FR,HT,9416,France
FR,HU,2669,France
FR,ID,219,France
FR,IE,6897,France
FR,IM,3735,France
FR,IN,213,France
FR,IS,6173,France
FR,IT,9863,France
FR,JE,11633,France
FR,JM,2001,France
FR,JO,909,France
FR,JP,1436,France
FR,KE,959,France
FR,KG,487,France
FR,KH,1549,France
FR,KI,235,France
FR,KM,122528,France
FR,KR,915,France
FR,KW,1814,France
FR,KY,3479,France
FR,KZ,540,France
FR,LA,1454,France
FR,LB,11914,France
FR,LC,7444,France
FR,LK,3556,France
FR,LR,4524,France
FR,LS,236,France
FR,LT,2465,France
FR,LU,91265,France
FR,LV,2817,France
FR,LY,1783,France
FR,MA,12599,France
FR,MD,21415,France
FR,ME,6710,France
FR,MG,19055,France
FR,MK,5184,France
FR,ML,28960,France
FR,MM,102,France
FR,MN,1631,France
FR,MO,1457,France
FR,MQ,272857,France
FR,MR,15688,France
FR,MT,12798,France
FR,MU,26697,France
FR,MV,1826,France
FR,MW,290,France
FR,MX,652,France
FR,MY,498,France
FR,MZ,972,France
FR,NC,131380,France
FR,NE,10314,France
FR,NG,1002,France
FR,NI,446,France
FR,NL,6873,France
FR,NO,3943,France
FR,NP,551,France
FR,NZ,3676,France
FR,OM,1984,France
FR,PA,989,France
FR,PE,856,France
FR,PF,116321,France
FR,PG,211,France
FR,PH,576,France
FR,PK,1341,France
FR,PL,2600,France
FR,PR,714,France
FR,PT,42322,France
FR,PY,1168,France
FR,QA,3871,France
FR,RE,165487,France
FR,RO,14300,France
FR,RS,7603,France
FR,RW,3358,France
FR,SA,1602,France
FR,SB,330,France
FR,SC,11660,France
FR,SE,4514,France
FR,SG,2656,France
FR,SI,3893,France
FR,SK,2162,France
FR,SL,7183,France
FR,SN,41499,France
FR,SR,23074,France
FR,ST,15427,France
FR,SV,443,France
FR,SZ,483,France
FR,TD,24498,France
FR,TG,18655,France
FR,TH,604,France
FR,TJ,586,France
FR,TL,259,France
FR,TN,33461,France
FR,TO,2381,France
FR,TR,2940,France
FR,TT,1103,France
FR,TW,726,France
FR,TZ,867,France
FR,UA,1791,France
FR,UG,2252,France
FR,US,1791,France
FR,UY,1506,France
FR,UZ,413,France
FR,VC,1663,France
FR,VN,516,France
FR,VU,2805,France
