Entity,Code,Year,Share of one person households,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Haiti,HTI,2000,8.199069513,2684.55192559431,8463802.0,North America
Egypt,EGY,2000,4.973597495,7744.71523809311,68831561.0,Africa
United States,USA,2000,25.52313614,50124.8911771197,281710914.0,North America
Uganda,UGA,2000,11.0589633,1252.75213083501,23650159.0,Africa
Malawi,MWI,2000,7.998310707,1107.53789395445,11148751.0,Africa
Malaysia,MYS,2000,7.139491293,15917.0571666512,23194252.0,Asia
Ethiopia,ETH,2000,5.125731809,727.766684744805,66224808.0,Africa
Bermuda,BMU,2000,27.87498012,83181.5263421175,65016.0,North America
Singapore,SGP,2000,8.238424636,56106.7320153462,4028872.0,Asia
Mongolia,MNG,2000,6.606338212,4528.95594640011,2397417.0,Asia
Mexico,MEX,2000,6.43639734,17756.5664680698,98899845.0,North America
Gabon,GAB,2000,19.28867044,16567.2456051163,1228359.0,Africa
Costa Rica,CRI,2000,8.001707586,12624.0705682992,3962369.0,North America
Brazil,BRA,2000,8.929955111,11600.9484568395,174790339.0,South America
Rwanda,RWA,2000,5.994879034,867.61519073836,7933688.0,Africa
Peru,PER,2000,8.228381981,6422.4805683104,26459944.0,South America
Cambodia,KHM,2000,1.865142063,1481.65682787052,12155241.0,Asia
Armenia,ARM,2000,8.410597501,4048.24990407114,3069597.0,Asia
Japan,JPN,2000,27.59867477,35611.8039052511,127524168.0,Asia
Puerto Rico,PRI,2000,18.42173904,30124.6931208743,3668955.0,North America
Thailand,THA,2000,8.698742956,9809.62237014961,62952639.0,Asia
Indonesia,IDN,2000,6.676955657,5689.26022293799,211513822.0,Asia
Panama,PAN,2000,12.74208971,14507.7959728498,3030333.0,North America
Bangladesh,BGD,2000,1.5271554,1937.72919211467,127657862.0,Asia
Colombia,COL,2000,7.672811586,9042.66279139813,39629965.0,South America
Trinidad and Tobago,TTO,2000,15.18771331,16939.5254674584,1267159.0,North America
China,CHN,2000,8.589161342,3451.67923092858,1290550767.0,Asia
Mali,MLI,2001,7.348353409,1823.84068813724,11271603.0,Africa
Argentina,ARG,2001,14.88346843,17610.7553863202,37275644.0,South America
Jamaica,JAM,2001,23.30160762,9399.37061985987,2674706.0,North America
Nepal,NPL,2001,3.97986929,2141.0670348476,24347113.0,Asia
New Zealand,NZL,2001,23.38380432,33775.232657194,3907941.0,Oceania
Benin,BEN,2001,11.85959957,2532.63405180985,7076728.0,Africa
Canada,CAN,2001,25.74493156,37309.6497953194,30880072.0,North America
Venezuela,VEN,2001,7.562009966,,24646471.0,South America
Australia,AUS,2001,22.9,38559.9041923683,19194676.0,Oceania
Botswana,BWA,2001,23.27897208,11253.9430497053,1674674.0,Africa
United States,USA,2001,26.06714821,50126.7202222598,284607992.0,North America
South Africa,ZAF,2001,18.5993172,10224.0233326686,45571272.0,Africa
Ecuador,ECU,2001,9.157058138,8350.88532837319,12914660.0,South America
Chile,CHL,2002,11.42539368,16293.18583341,15684413.0,South America
Russia,RUS,2002,22.27498144,16175.0971950813,145215707.0,Europe
Cuba,CUB,2002,13.73013554,,11199664.0,North America
Paraguay,PRY,2002,8.088676944,8138.10485337466,5531958.0,South America
United States,USA,2002,26.3273468,50528.7885768372,287279312.0,North America
Zambia,ZMB,2002,6.345220534,2080.19569038468,10971704.0,Africa
Jordan,JOR,2002,4.544476743,9377.64537255967,5317514.0,Asia
Georgia,GEO,2002,16.30066331,5572.62200637586,4258573.0,Asia
Dominican Republic,DOM,2002,11.03890575,9690.5988753623,8724974.0,North America
Ghana,GHA,2003,20.76049926,2905.01641475462,20750308.0,Africa
Mozambique,MOZ,2003,6.647905944,756.594282288843,19331097.0,Africa
Bolivia,BOL,2003,12.12090141,5479.26691066365,8905820.0,South America
Kenya,KEN,2003,13.99101313,2839.09457594395,34678781.0,Africa
Nigeria,NGA,2003,11.66963467,3619.14020790471,131900633.0,Africa
Greece,GRC,2003,19.7,33040.7682982488,11218879.0,Europe
Denmark,DNK,2003,43.8,49262.6449732556,5386968.0,Europe
Egypt,EGY,2003,5.762410306,8007.6450292324,72826102.0,Africa
Ireland,IRL,2003,21.7,53184.8832221364,3980077.0,Europe
United States,USA,2003,26.44817543,51529.7264039287,289815567.0,North America
Burkina Faso,BFA,2003,6.14808834,1426.61671204758,12654624.0,Africa
Norway,NOR,2003,40.3,58728.1752425985,4570096.0,Europe
Austria,AUT,2003,31.6,47564.8638976916,8175855.0,Europe
